type,ent_ts,ent_px,qty,sl,tp,ent_idx,scale,exit_px,exit_ts,reason,pnl,equity
long,2023-07-07 10:54:00-04:00,15242.75,2.6,15188.75,15296.25,390815,2.6,15232.25,2023-07-07 10:55:00-04:00,VWAP,-553.124,263090.772
long,2023-07-07 11:01:00-04:00,15244.75,2.6,15188.75,15296.25,390822,2.6,15296.25,2023-07-07 12:06:00-04:00,TP,2670.876,265761.648
short,2023-07-10 11:44:00-04:00,15136.5,2.6,15214.75,15092.75,392245,2.6,15092.75,2023-07-10 12:02:00-04:00,TP,2267.876,268029.524
long,2023-07-11 12:07:00-04:00,15238.25,2.6,15150.25,15316.75,393648,2.6,15227.75,2023-07-11 12:09:00-04:00,5m,-553.124,267476.4
long,2023-07-12 09:49:00-04:00,15450.75,2.6,15408.5,15488.5,394889,2.6,15488.5,2023-07-12 10:10:00-04:00,TP,1955.876,269432.276
long,2023-07-12 13:34:00-04:00,15450.0,2.6,15408.5,15488.5,395114,2.6,15451.5,2023-07-12 14:59:00-04:00,EOD,70.876,269503.152
long,2023-07-13 11:03:00-04:00,15618.25,2.6,15552.25,15678.75,396343,2.6,15594.5,2023-07-13 11:13:00-04:00,VWAP,-1242.124,268261.02800000005
long,2023-07-13 11:44:00-04:00,15618.75,2.6,15552.25,15678.75,396384,2.6,15617.25,2023-07-13 11:49:00-04:00,5m,-85.124,268175.90400000004
long,2023-07-14 09:52:00-04:00,15807.75,2.6,15721.5,15886.0,397652,2.6,15787.25,2023-07-14 10:37:00-04:00,VWAP,-1073.124,267102.78
long,2023-07-14 10:39:00-04:00,15807.75,2.6,15721.5,15886.0,397699,2.6,15796.5,2023-07-14 10:41:00-04:00,VWAP,-592.124,266510.656
long,2023-07-14 11:02:00-04:00,15804.75,2.6,15721.5,15886.0,397722,2.6,15791.0,2023-07-14 11:07:00-04:00,VWAP,-722.124,265788.532
long,2023-07-14 11:12:00-04:00,15806.5,2.6,15721.5,15886.0,397732,2.6,15793.25,2023-07-14 11:14:00-04:00,VWAP,-696.124,265092.40800000005
long,2023-07-17 12:22:00-04:00,15781.75,2.6,15726.25,15836.75,399182,2.6,15781.25,2023-07-17 12:24:00-04:00,5m,-33.124,265059.28400000004
long,2023-07-17 12:49:00-04:00,15784.5,2.6,15726.25,15836.75,399209,2.6,15825.5,2023-07-17 14:59:00-04:00,EOD,2124.876,267184.16000000003
long,2023-07-19 11:16:00-04:00,16037.25,2.6,15977.5,16096.5,401876,2.6,16038.5,2023-07-19 11:19:00-04:00,5m,57.876,267242.036
long,2023-07-19 11:20:00-04:00,16039.0,2.6,15977.5,16096.5,401880,2.6,16021.75,2023-07-19 11:24:00-04:00,5m,-904.124,266337.912
long,2023-07-19 11:32:00-04:00,16039.25,2.6,15977.5,16096.5,401892,2.6,16012.0,2023-07-19 12:16:00-04:00,VWAP,-1424.1240000000003,264913.78800000006
short,2023-07-24 12:18:00-04:00,15556.0,2.6,15618.75,15529.25,406078,2.6,15558.0,2023-07-24 12:29:00-04:00,VWAP,-111.124,264802.66400000005
long,2023-07-25 09:52:00-04:00,15639.25,2.6,15587.75,15683.25,407311,2.6,15640.25,2023-07-25 09:54:00-04:00,5m,44.876,264847.54000000004
long,2023-07-25 10:06:00-04:00,15642.0,2.6,15587.75,15683.25,407325,2.6,15643.25,2023-07-25 10:09:00-04:00,5m,57.876,264905.416
long,2023-07-25 10:17:00-04:00,15642.75,2.6,15587.75,15683.25,407336,2.6,15638.5,2023-07-25 10:19:00-04:00,5m,-228.124,264677.292
long,2023-07-25 11:11:00-04:00,15636.75,2.6,15587.75,15683.25,407390,2.6,15683.25,2023-07-25 11:42:00-04:00,TP,2410.876,267088.168
short,2023-07-26 12:25:00-04:00,15563.5,2.6,15639.25,15492.75,408844,2.6,15582.75,2023-07-26 14:01:00-04:00,VWAP,-1008.1240000000001,266080.044
long,2023-07-28 09:49:00-04:00,15801.25,2.6,15715.75,15875.75,411448,2.6,15786.0,2023-07-28 10:46:00-04:00,VWAP,-800.124,265279.92000000004
long,2023-07-28 10:48:00-04:00,15806.0,2.6,15715.75,15875.75,411507,2.6,15790.5,2023-07-28 10:54:00-04:00,VWAP,-813.1240000000001,264466.79600000003
long,2023-07-28 10:56:00-04:00,15799.0,2.6,15715.75,15875.75,411515,2.6,15875.75,2023-07-28 11:40:00-04:00,TP,3983.876,268450.672
long,2023-07-31 09:46:00-04:00,15899.0,2.6,15845.5,15949.0,412825,2.6,15869.75,2023-07-31 09:48:00-04:00,VWAP,-1528.124,266922.548
short,2023-07-31 10:46:00-04:00,15842.0,2.6,15897.25,15793.75,412885,2.6,15864.0,2023-07-31 10:49:00-04:00,VWAP,-1151.124,265771.424
short,2023-07-31 13:47:00-04:00,15845.0,2.6,15897.25,15793.75,413066,2.6,15850.0,2023-07-31 14:55:00-04:00,VWAP,-267.124,265504.30000000005
long,2023-08-01 11:45:00-04:00,15808.0,2.6,15764.25,15843.75,414324,2.6,15790.0,2023-08-01 12:27:00-04:00,VWAP,-943.1240000000001,264561.17600000004
long,2023-08-01 12:36:00-04:00,15806.5,2.6,15764.25,15843.75,414375,2.6,15843.75,2023-08-01 13:06:00-04:00,TP,1929.8760000000002,266491.052
long,2023-08-01 13:40:00-04:00,15806.75,2.6,15764.25,15843.75,414439,2.6,15843.75,2023-08-01 14:18:00-04:00,TP,1916.876,268407.928
long,2023-08-03 10:39:00-04:00,15422.25,2.6,15351.25,15475.75,417018,2.6,15418.75,2023-08-03 10:44:00-04:00,5m,-189.124,268218.804
long,2023-08-03 10:47:00-04:00,15420.0,2.6,15351.25,15475.75,417026,2.6,15417.0,2023-08-03 10:49:00-04:00,5m,-163.124,268055.68000000005
long,2023-08-03 10:58:00-04:00,15422.25,2.6,15351.25,15475.75,417037,2.6,15475.75,2023-08-03 11:19:00-04:00,TP,2774.876,270830.55600000004
long,2023-08-04 12:26:00-04:00,15583.75,2.7,15496.0,15671.0,418505,2.7,15519.25,2023-08-04 13:58:00-04:00,VWAP,-3490.398,267340.15800000005
short,2023-08-09 10:20:00-04:00,15266.5,2.6,15368.5,15194.0,422519,2.6,15194.0,2023-08-09 11:12:00-04:00,TP,3762.876,271103.03400000004
short,2023-08-10 11:45:00-04:00,15256.5,2.7,15356.0,15190.5,423984,2.7,15190.5,2023-08-10 13:22:00-04:00,TP,3556.6020000000003,274659.63600000006
short,2023-08-11 11:33:00-04:00,15043.75,2.7,15116.75,14997.75,425352,2.7,15099.5,2023-08-11 12:05:00-04:00,VWAP,-3017.898,271641.738
long,2023-08-16 10:51:00-04:00,15110.25,2.7,15051.0,15166.0,429450,2.7,15103.25,2023-08-16 11:17:00-04:00,VWAP,-385.3980000000001,271256.34
long,2023-08-16 11:23:00-04:00,15112.75,2.7,15051.0,15166.0,429482,2.7,15098.75,2023-08-16 11:26:00-04:00,VWAP,-763.3980000000001,270492.94200000004
long,2023-08-18 11:35:00-04:00,14678.25,2.7,14623.5,14724.5,432254,2.7,14656.5,2023-08-18 11:40:00-04:00,VWAP,-1181.898,269311.04400000005
long,2023-08-18 11:43:00-04:00,14677.0,2.6,14623.5,14724.5,432262,2.6,14724.5,2023-08-18 11:56:00-04:00,TP,2462.876,271773.92000000004
long,2023-08-21 12:50:00-04:00,14890.75,2.7,14805.5,14972.0,433709,2.7,14885.75,2023-08-21 12:54:00-04:00,5m,-277.398,271496.52200000006
long,2023-08-21 12:56:00-04:00,14890.5,2.7,14805.5,14972.0,433715,2.7,14972.0,2023-08-21 14:20:00-04:00,TP,4393.602,275890.12400000007
short,2023-08-22 11:15:00-04:00,15013.0,2.7,15092.25,14942.75,434994,2.7,15029.75,2023-08-22 11:18:00-04:00,VWAP,-911.898,274978.226
short,2023-08-22 11:39:00-04:00,15005.5,2.7,15092.25,14942.75,435018,2.7,14942.75,2023-08-22 12:14:00-04:00,TP,3381.102,278359.32800000004
short,2023-08-24 10:06:00-04:00,15193.5,2.7,15339.75,15084.25,437685,2.7,15084.25,2023-08-24 10:29:00-04:00,TP,5892.102,284251.43000000005
long,2023-08-25 09:55:00-04:00,14950.0,2.8,14892.25,15003.75,439054,2.8,14914.25,2023-08-25 10:06:00-04:00,VWAP,-2009.672,282241.75800000003
long,2023-08-25 10:22:00-04:00,14952.75,2.8,14892.25,15003.75,439081,2.8,14933.25,2023-08-25 10:23:00-04:00,VWAP,-1099.672,281142.086
short,2023-08-25 13:16:00-04:00,14873.25,2.8,14948.0,14836.5,439255,2.8,14877.5,2023-08-25 13:53:00-04:00,VWAP,-245.67199999999997,280896.414
short,2023-08-28 11:28:00-04:00,15016.0,2.8,15126.5,14944.0,440526,2.8,15047.0,2023-08-28 12:50:00-04:00,VWAP,-1743.672,279152.742
long,2023-08-30 10:39:00-04:00,15450.5,2.7,15386.5,15509.0,443236,2.7,15436.5,2023-08-30 10:41:00-04:00,VWAP,-763.3980000000001,278389.34400000004
long,2023-08-30 10:43:00-04:00,15453.75,2.7,15386.5,15509.0,443240,2.7,15446.25,2023-08-30 10:44:00-04:00,5m,-412.398,277976.946
long,2023-08-30 10:53:00-04:00,15451.5,2.7,15386.5,15509.0,443250,2.7,15437.25,2023-08-30 11:03:00-04:00,VWAP,-776.898,277200.048
long,2023-08-30 11:05:00-04:00,15452.25,2.7,15386.5,15509.0,443262,2.7,15509.0,2023-08-30 12:16:00-04:00,TP,3057.1020000000003,280257.15
